name,description,price_egp,image_url,ram_gb,storage_gb,storage_type,cpu_family,cpu_generation,cpu_model,gpu,screen_size_inch,product_code,link
14-Em0006Ne Laptop With 14 Inch FHD /Ryzen 5 -7520U /8GB RAM /512 GB SSD/ AMD Radeon/ Windows11 English/Arabic Natural Silver,"Product Overview HIGHLIGHTS Empower your business and do great things with the windows 11 Home Intel vpro technology makes enterprise-level manageability even more convenient and efficient Excellent choice for both business and personal computing needs SPECIFICATIONS CPU Speed 4.3 GHz Internal Memory 512 GB Display Resolution 1920x1080 Keyboard Language English/Arabic Resolution Full HD OS Version Windows 11 Home Number of Cores Quad Core Processor Version Number/Generation - Model Number 14-em0006ne HDMI Output Yes SD Card Slot no Processor Version Ryzen 5 7520U RAM Size 8 GB Screen Size 14 in Colour Name Natural Silver Display Type LED Type SSD Operating System Windows RAM Type LPDDR5 External Graphics Integrated Model Name 14-em0006ne Number of USB Ports 2 Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 10,600.00. HP 14-Em0006Ne Laptop With 14 Inch FHD /Ryzen 5 -7520U /8GB RAM /512 GB SSD/ AMD Radeon/ Windows11 English/Arabic Natural Silver Apple iPhone 17 Pro Max 256GB Cosmic Orange 5G (Nano SIM + eSIM) With FaceTime - International Version We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",31800,https://f.nooncdn.com/p/pnsku/N70059713V/45/_/1711960344/43f8f992-7052-48ff-a507-88623adee9cc.jpg?width=800,8,512,SSD,Ryzen 5,7520,7520U,Integrated,14.0,N70059713V,https://www.noon.com/egypt-en/14-em0006ne-laptop-with-14-inch-fhd-ryzen-5-7520u-8gb-ram-512-gb-ssd-amd-radeon-windows11-english-arabic-natural-silver/N70059713V/p/
15-3520 Latitude Laptop 15.6 Inch Display Core I7-1165G7 - 8GB RAM 1TB GeForce MX450 2GB - DOS English/Arabic Black,"Product Overview HIGHLIGHTS 11th Generation Intel Core i7-1165G7 (4 Core, 8M cache, base 2.4GHz, up to 4.2GHz) 15.6 HD (1366 x 768) AG Non-Tou ch, 220nits, Camera & Micropho ne, WLAN Capable 8 GB, 1X8 GB 3200MHz DDR4 Non-ECC SPECIFICATIONS CPU Speed 2.8 GHz Internal Memory 1 TB Display Resolution 1366x768 Colour Name Black Display Type LED Battery Life Above 20 Hours OS Version Free DOS Usage Personal RAM Type DDR4 External Graphics Graphic Card Features Business, Compact Size, Intel Model Number Latitude-3520 HDMI Output Yes SD Card Slot Yes Processor Version Core i7-1165G7 RAM Size 8 GB Screen Size 15.6 in Features Anti Glare Keyboard Language English/Arabic Resolution HD Type HDD Operating System DOS Number of Cores Quad Core Processor Version Number/Generation 11th Gen Graphic Memory 2 GB HDD Rotation 5400 rpm Model Name Latitude Laptop -3520 Number of USB Ports 4 Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 16,000.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",48000,https://f.nooncdn.com/p/v1638954242/N52101203A_1.jpg?width=800,8,1024,HDD,Unknown,Unknown,Unknown,Integrated,15.6,N52101203A,https://www.noon.com/egypt-en/15-3520-latitude-laptop-15-6-inch-display-core-i7-1165g7-8gb-ram-1tb-geforce-mx450-2gb-dos-english-arabic-black/N52101203A/p/
"15.6-Inch Display Laptop, Celeron N3060 Processor/4 GB RAM/500 HDD/Intel HD Graphics Black","Product Overview Whether you are a working professional or a student, this laptop has the capabilities to become essential component of your everyday life. This smart machine not only increases your productivity manifold, but at the same time makes many tasks smoother and hassle-free. Brought to you by Dell, this laptop comes with features and specifications that will give you power and convenience. Hassle-free multi-tasking More the RAM, more is the multi-tasking. Fitted with an 4GB RAM, this laptop efficiently runs multiple programs and applications without any lag. This RAM is especially beneficial for those who work on heavy applications like Photoshop. This amount of memory will make switching from one program to another a smoother task. High speed computing Intel Celeron N3060 processor makes the laptop capable of processing instructions in a quick and efficient manner. This processor makes it possible to carry out basic and as well as advanced arithmetical, logical, editing, gaming and other input/output operations smoothly. Store everything you want to The laptop features 500GB HDD storage that can be put to use for storing huge amount of data, be it pictures, videos or documents. The space is of great benefit to multimedia users and gamers. All the above features and a sleek and classic design together make this laptop an impressive buy. Moreover, the laptop is light in weight for enhanced portability. HIGHLIGHTS Powerful Intel Core processor guarantees premium performance and stunning visuals High performance RAM provides smooth execution of applications including high-resolution games Integrated Graphics Card support to play the latest games, or edit photos and videos Long-lasting battery life with fast charge ensures minimal wait time for actions on the go The internal memory of the system provides ample amount of storage space for storing data SPECIFICATIONS RAM Size 4 GB Product Weight 2.14 KG Display Resolution 1366x768 Weight 2 - 2.2 Kg Resolution HD Product Length 38 cm Product Width 26.03 cm RAM Type DDR3L External Graphics Processor Graphics Model Number 3552 HDMI Output Yes SD Card Slot Yes Internal Memory 500 GB Screen Size 15.6 in Colour Name Black Display Type LED Type HDD Product Height 2.17 cm Number of Cores Dual Core Processor Version Number/Generation N3060 Features Personal Model Name Inspiron Number of USB Ports 3 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 5,333.33. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",16000,https://f.nooncdn.com/p/v1557487659/N12626377A_1.jpg?width=800,4,500,HDD,Unknown,Unknown,Unknown,Integrated,15.6,N12626377A,https://www.noon.com/egypt-en/15-6-inch-display-laptop-celeron-n3060-processor-4-gb-ram-500-hdd-intel-hd-graphics-black/N12626377A/p/
"15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11 English Carbon Black","Product Overview Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black HIGHLIGHTS Powerful 13th Gen Intel Core i5-1334U processor – 10 cores (2P + 8E), up to 4.60 GHz for smooth multitasking and everyday performance 15.6″ Full HD (1920×1080) IPS display with anti-glare coating for crisp visuals and fluid scrolling. Intel UHD Graphics – integrated graphics for daily productivity, video, and light creative tasks. Wi-Fi 6 + Bluetooth 5.3 – modern wireless connectivity for fast internet and reliable pairing. SPECIFICATIONS CPU Speed 3 GHz Internal Memory 1 TB Screen Size 15 in Display Resolution 1920x1080 Colour Name Carbon Black Keyboard Language English Resolution Full HD OS Version Windows 11 Connection Type Bluetooth/Wireless Product Length 36 cm Product Width 30 cm Audio Jack 3.5 mm Processor Version Number/Generation 13th Gen Number of Channels Dual Processor Version Number/Generation 13th Gen Model Name Dell Number of USB Ports 2 Processor Version Core i5-1334U RAM Size 16 GB Product Weight 1.7 KG Version USA Version Refresh Rates 60Hz Weight 1.5 - 1.9 Kg Display Type LED Type SSD Operating System Windows Usage Business Product Height 4 cm Number of Cores 10-Core RAM Type DDR4 What's In The Box Laptop + Charger Processor Version Intel Core i5-1334U Model Number DC15250 HDMI Output Yes Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 19,200.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",57600,https://f.nooncdn.com/p/pnsku/N70282435V/45/_/1769663873/184e841a-10c7-4ee0-8ad6-e2df2b99eb4a.jpg?width=800,16,1024,SSD,I5,1334,1334U,Intel UHD Graphics,15.6,N70282435V,https://www.noon.com/egypt-en/15-dc15250-laptop-15-6-fhd-touch-display-intel-core-i5-1334u-processor-16gb-ram-1tb-ssd-intel-uhd-graphics-english-keyboard-windows-11-english-carbon-black/N70282435V/p/
"15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11 English Carbon Black","Product Overview Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black HIGHLIGHTS Powerful 13th Gen Intel Core i5-1334U processor – 10 cores (2P + 8E), up to 4.60 GHz for smooth multitasking and everyday performance 15.6″ Full HD (1920×1080) IPS display with anti-glare coating for crisp visuals and fluid scrolling. Intel UHD Graphics – integrated graphics for daily productivity, video, and light creative tasks. Wi-Fi 6 + Bluetooth 5.3 – modern wireless connectivity for fast internet and reliable pairing. SPECIFICATIONS CPU Speed 3 GHz Internal Memory 512 GB Screen Size 15 in Display Resolution 1920x1080 Colour Name Carbon Black Keyboard Language English Resolution Full HD OS Version Windows 11 Connection Type Bluetooth/Wireless Product Length 36 cm Product Width 30 cm Audio Jack 3.5 mm Processor Version Number/Generation 13th Gen Number of Channels Dual Processor Version Number/Generation 13th Gen Model Name Dell Number of USB Ports 2 Processor Version Core i5-1334U RAM Size 16 GB Product Weight 1.7 KG Version USA Version Refresh Rates 60Hz Weight 1.5 - 1.9 Kg Display Type LED Type SSD Operating System Windows Usage Business Product Height 4 cm Number of Cores 10-Core RAM Type DDR4 What's In The Box Laptop + Charger Processor Version Intel Core i5-1334U Model Number DC15250 HDMI Output Yes Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 17,300.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",51900,https://f.nooncdn.com/p/pnsku/N70282436V/45/_/1769663876/96d102e8-52bd-4b25-acf1-c0dff602c541.jpg?width=800,16,512,SSD,I5,1334,1334U,Intel UHD Graphics,15.6,N70282436V,https://www.noon.com/egypt-en/15-dc15250-laptop-15-6-fhd-touch-display-intel-core-i5-1334u-processor-16gb-ram-512gb-ssd-intel-uhd-graphics-english-keyboard-windows-11-english-carbon-black/N70282436V/p/
"15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11 English Carbon Black","Product Overview Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black HIGHLIGHTS Powerful 13th Gen Intel Core i5-1334U processor – 10 cores (2P + 8E), up to 4.60 GHz for smooth multitasking and everyday performance 15.6″ Full HD (1920×1080) IPS display with anti-glare coating for crisp visuals and fluid scrolling. Intel UHD Graphics – integrated graphics for daily productivity, video, and light creative tasks. Wi-Fi 6 + Bluetooth 5.3 – modern wireless connectivity for fast internet and reliable pairing. SPECIFICATIONS CPU Speed 3 GHz Internal Memory 1 TB Screen Size 15 in Display Resolution 1920x1080 Colour Name Carbon Black Keyboard Language English Resolution Full HD OS Version Windows 11 Connection Type Bluetooth/Wireless Product Length 36 cm Product Width 30 cm Audio Jack 3.5 mm Processor Version Number/Generation 13th Gen Number of Channels Dual Processor Version Number/Generation 13th Gen Model Name Dell Number of USB Ports 2 Processor Version Core i5-1334U RAM Size 8 GB Product Weight 1.7 KG Version USA Version Refresh Rates 60Hz Weight 1.5 - 1.9 Kg Display Type LED Type SSD Operating System Windows Usage Business Product Height 4 cm Number of Cores 10-Core RAM Type DDR4 What's In The Box Laptop + Charger Processor Version Intel Core i5-1334U Model Number DC15250 HDMI Output Yes Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 16,200.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 1TB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",48600,https://f.nooncdn.com/p/pnsku/N70282433V/45/_/1769663873/36700435-1925-4266-aa4a-cb555235ca83.jpg?width=800,8,1024,SSD,I5,1334,1334U,Intel UHD Graphics,15.6,N70282433V,https://www.noon.com/egypt-en/15-dc15250-laptop-15-6-fhd-touch-display-intel-core-i5-1334u-processor-8gb-ram-1tb-ssd-intel-uhd-graphics-english-keyboard-windows-11-english-carbon-black/N70282433V/p/
"15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11 English Carbon Black","Product Overview Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black HIGHLIGHTS Powerful 13th Gen Intel Core i5-1334U processor – 10 cores (2P + 8E), up to 4.60 GHz for smooth multitasking and everyday performance 15.6″ Full HD (1920×1080) IPS display with anti-glare coating for crisp visuals and fluid scrolling. Intel UHD Graphics – integrated graphics for daily productivity, video, and light creative tasks. Wi-Fi 6 + Bluetooth 5.3 – modern wireless connectivity for fast internet and reliable pairing. SPECIFICATIONS CPU Speed 3 GHz Internal Memory 512 GB Screen Size 15 in Display Resolution 1920x1080 Colour Name Carbon Black Keyboard Language English Resolution Full HD OS Version Windows 11 Connection Type Bluetooth/Wireless Product Length 36 cm Product Width 30 cm Audio Jack 3.5 mm Processor Version Number/Generation 13th Gen Number of Channels Dual Processor Version Number/Generation 13th Gen Model Name Dell Number of USB Ports 2 Processor Version Core i5-1334U RAM Size 8 GB Product Weight 1.7 KG Version USA Version Refresh Rates 60Hz Weight 1.5 - 1.9 Kg Display Type LED Type SSD Operating System Windows Usage Business Product Height 4 cm Number of Cores 10-Core RAM Type DDR4 What's In The Box Laptop + Charger Processor Version Intel Core i5-1334U Model Number DC15250 HDMI Output Yes Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 14,000.00. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan Dell 15 DC15250 Laptop, 15.6"" FHD Touch Display, Intel Core i5-1334U Processor, 8GB RAM, 512GB SSD, Intel UHD Graphics, English Keyboard, Windows 11, Carbon Black We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",42000,https://f.nooncdn.com/p/pnsku/N70282434V/45/_/1769663873/ce0b1421-5fa8-4379-9419-e036e6868c92.jpg?width=800,8,512,SSD,I5,1334,1334U,Intel UHD Graphics,15.6,N70282434V,https://www.noon.com/egypt-en/15-dc15250-laptop-15-6-fhd-touch-display-intel-core-i5-1334u-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-english-keyboard-windows-11-english-carbon-black/N70282434V/p/
"15-dw3023ne with 15.6"" FHD - Intel Core i5-1135G7 - 4GB - 1TB - NVIDIA GeForce MX350 2GB - Win10 English Black","Product Overview HIGHLIGHTS Wireless connectivity Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi and Bluetooth 4.2 combo Network interface Integrated 10/100/1000 GbE LAN ports 1 SuperSpeed USB Type-C 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo SPECIFICATIONS CPU Speed 2.4 GHz Internal Memory 1 TB Display Resolution 1920x1080 Keyboard Language English Resolution Full HD Type HDD Operating System Windows RAM Type DDR4 External Graphics Graphic Card Features Bluetooth, Built In Speaker, Travel Model Name 30X67EA-Blk Number of HDMI Ports 1 RAM Size 4 GB Screen Size 15.6 in Colour Name Black Display Type LED Battery Life 8 Hours OS Version Windows 10 Number of Cores Quad Core Processor Version Number/Generation 11th Gen Graphic Memory 2 GB Model Number 30X67EA Number of USB Ports 2 Processor Version Core i5-1135G7 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 9,999.67. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",29999,https://f.nooncdn.com/p/v1646138456/N52791858A_1.jpg?width=800,16,1024,NVMe SSD,I3,1315,1315U,RTX 3050,15.6,N52791858A,https://www.noon.com/egypt-en/15-dw3023ne-with-15-6-fhd-intel-core-i5-1135g7-4gb-1tb-nvidia-geforce-mx350-2gb-win10-english-black/N52791858A/p/
"15-DW3046 Laptop 15.6 Inch Display With Core I5 Processor, 4GB RAM/256GB SSD MX350 Graphic Card English/Arabic Black","Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 8,666.33. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",25999,https://f.nooncdn.com/p/v1620151368/N47160944A_1.jpg?width=800,4,256,SSD,Unknown,Unknown,Unknown,Integrated,15.6,N47160944A,https://www.noon.com/egypt-en/15-dw3046-laptop-15-6-inch-display-with-core-i5-processor-4gb-ram-256gb-ssd-mx350-graphic-card-english-arabic-black/N47160944A/p/
15-Dw3046Ne- With 15.6 Inch Display / Intel Core i5-1135G7/ 256GB SSD / 4GB RAM /Nvidia GeForce MX350 2GB / English/Arabic Black,"Product Overview HIGHLIGHTS Multiprotect safety system gives the ultimate protection Stay Secure Easy to Set Up SPECIFICATIONS CPU Speed 2.6 GHz Internal Memory 256 GB Screen Size 15.6 in Display Resolution 1366x768 Weight 1.5 - 1.9 Kg Display Type LCD Battery Life 6 Hours OS Version Free DOS Connection Type HDMI Product Length 37.6 cm Product Width 2.25 cm Wireless 3G/Wireless/Bluetooth Processor Version Number/Generation 11th Gen Graphic Memory 2 GB Model Number DW3046ne HDMI Output Yes SD Card Slot Yes Processor Version 1135G7 RAM Size 4 GB Product Weight 1.78 KG Sim Type Micro SIM Colour Name Black Keyboard Language English/Arabic Resolution HD Type SSD Operating System DOS Usage Personal Product Height 24.6 cm Number of Cores Quad Core RAM Type DDR4 External Graphics Graphic Card Features Bluetooth, Built In Speaker, Intel Model Name Note book 15 Number of USB Ports 2 Number of HDMI Ports 1 Beauty & Fragrance Explore other bestsellers in Notebook Laptops Pay 3 monthly payments of EGP 8,666.33. Efficiency & Productivity Lisen Magnetic Gaming Mobile Phone Cooler - Magnetic Ice Cooling Fan We're Always Here To Help Reach out to us through any of these support channels Health & Nutrition Stationery & Books Electronics & Mobiles Computers & Accessories",25999,https://f.nooncdn.com/p/v1628505830/N49915061A_1.jpg?width=800,4,256,SSD,Unknown,Unknown,Unknown,Nvidia GeForce MX350,15.6,N49915061A,https://www.noon.com/egypt-en/15-dw3046ne-with-15-6-inch-display-intel-core-i5-1135g7-256gb-ssd-4gb-ram-nvidia-geforce-mx350-2gb-english-arabic-black/N49915061A/p/
